AuthorID,Author,Date,Content,Attachments,Reactions
845252450285912000.00,discordtest2#1420,30/09/2020 01:03,Hey friend!,,
845252450285912000.00,discordtest2#1420,30/09/2020 01:03,Nice new pfp,,
845252450285912000.00,discordtest2#1420,30/09/2020 01:03,I got a quick little order for you if u don’t mind,,
838457928805646000.00,discordtest1#5544,30/09/2020 02:06,"Aloha, I can do something for you tomorrow when I wake up =)",,
838457928805646000.00,discordtest1#5544,30/09/2020 02:06,Just about to sleep haha,,
845252450285912000.00,discordtest2#1420,30/09/2020 08:48,No biggie haha now I’m going to sleep,,
845252450285912000.00,discordtest2#1420,30/09/2020 08:48,This took me a while to make but I’m finally done,,
845252450285912000.00,discordtest2#1420,30/09/2020 08:48,https://docs.google.com/document/d/1-x23nS4TuGlbkKj_qBa8zDjpjr2kret1htnwTwe4fxs/edit,,
845252450285912000.00,discordtest2#1420,30/09/2020 08:50,I need the IVs to be exact because of DVs and how to determine shinies in gen 1 and 2,,
845252450285912000.00,discordtest2#1420,30/09/2020 08:56,Thanks !,,
838457928805646000.00,discordtest1#5544,30/09/2020 22:53,"hiya, yeah I can definitely do this, sorry for the late reply",,
838457928805646000.00,discordtest1#5544,30/09/2020 22:53,they'd all come in one Pokemon Bank move,,
838457928805646000.00,discordtest1#5544,30/09/2020 22:54,18 of them,,
838457928805646000.00,discordtest1#5544,30/09/2020 22:54,When would you like me to have this ready for?,,
845252450285912000.00,discordtest2#1420,01/10/2020 02:56,I’m on your time so whenever,,
845252450285912000.00,discordtest2#1420,01/10/2020 02:56,Bank move is fine!,,
845252450285912000.00,discordtest2#1420,01/10/2020 02:56,Thanks bud,,
838457928805646000.00,discordtest1#5544,01/10/2020 21:09,I saw you were asking for Charizard and Mewtwo codes,,
838457928805646000.00,discordtest1#5544,01/10/2020 21:09,Are there many out there?,,
838457928805646000.00,discordtest1#5544,01/10/2020 21:12,also btw,,
838457928805646000.00,discordtest1#5544,01/10/2020 21:12,looking at your sheet I can't do the Iv's you want,,
838457928805646000.00,discordtest1#5544,01/10/2020 21:13,,https://cdn.discordapp.com/attachments/751307762767757332/761319827557056522/unknown.png,
838457928805646000.00,discordtest1#5544,01/10/2020 21:13,so I can just pick 3 at random,,
845252450285912000.00,discordtest2#1420,01/10/2020 21:17,Hmm,,
